train_dataset,eval_dataset,eval_condition,model,accuracy,balanced_accuracy,f1_weighted
IDRiD,IDRiD,original_val,LogReg,0.47115384615384615,0.3664414414414415,0.4560881378683236
IDRiD,IDRiD,degraded,LogReg,0.8798449612403101,0.862471487430849,0.879593258252449
IDRiD,IDRiD,bicubic_original,LogReg,0.910411622276029,0.8944041424556914,0.910650161442872
IDRiD,IDRiD,bicubic_degraded,LogReg,0.9055690072639225,0.8877666225828775,0.9054505259350768
IDRiD,IDRiD,espcn_original,LogReg,0.9128329297820823,0.8971068451583941,0.9130693447075116
IDRiD,IDRiD,espcn_degraded,LogReg,0.9055690072639225,0.8877666225828775,0.9054996042630293
IDRiD,IDRiD,fsrcnn_original,LogReg,0.6174334140435835,0.4741093807430192,0.5873889452267888
IDRiD,IDRiD,fsrcnn_degraded,LogReg,0.6319612590799032,0.4842528209347474,0.6023600913247907
IDRiD,IDRiD,srcnn_original,LogReg,0.9055690072639225,0.8877666225828775,0.9056695881796103
IDRiD,IDRiD,srcnn_degraded,LogReg,0.9007263922518159,0.8860575605796978,0.9009939184195694
IDRiD,APTOS,original,LogReg,0.3656471873293282,0.2441247955463442,0.36270128760613096
IDRiD,APTOS,degraded,LogReg,0.3402512288367013,0.2588999041985937,0.3537264771570045
IDRiD,APTOS,bicubic_original,LogReg,0.3656471873293282,0.2441247955463442,0.36270128760613096
IDRiD,APTOS,bicubic_degraded,LogReg,0.3402512288367013,0.2588999041985937,0.3537264771570045
IDRiD,APTOS,espcn_original,LogReg,0.3448935008192245,0.2583299085104395,0.3603358197439762
IDRiD,APTOS,espcn_degraded,LogReg,0.323593664664118,0.26605042356424297,0.3484022816671667
IDRiD,APTOS,fsrcnn_original,LogReg,0.4279082468596395,0.25026206583584426,0.4030314841907743
IDRiD,APTOS,fsrcnn_degraded,LogReg,0.4246313489896232,0.2607325813119561,0.40727709507210125
IDRiD,APTOS,srcnn_original,LogReg,0.3489896231567449,0.2456285286964778,0.35507042908212305
IDRiD,APTOS,srcnn_degraded,LogReg,0.3255051884216275,0.2630060718023446,0.34431926352555875
IDRiD,IDRiD,original_val,SVM_RBF,0.5576923076923077,0.3998123123123123,0.5170647455992283
IDRiD,IDRiD,degraded,SVM_RBF,0.6802325581395349,0.519837278134899,0.6533588754331441
IDRiD,IDRiD,bicubic_original,SVM_RBF,0.7336561743341404,0.5661348000273123,0.7122524460338455
IDRiD,IDRiD,bicubic_degraded,SVM_RBF,0.7312348668280871,0.5658963262594268,0.7099407822554933
IDRiD,IDRiD,espcn_original,SVM_RBF,0.7263922518159807,0.5617230353214299,0.7048961552245138
IDRiD,IDRiD,espcn_degraded,SVM_RBF,0.7360774818401937,0.5751668396281465,0.7154024553488034
IDRiD,IDRiD,fsrcnn_original,SVM_RBF,0.6343825665859564,0.5007010266793285,0.6207975036871387
IDRiD,IDRiD,fsrcnn_degraded,SVM_RBF,0.6319612590799032,0.49939920300512297,0.6183618805754562
IDRiD,IDRiD,srcnn_original,SVM_RBF,0.7215496368038741,0.5599700751619728,0.700891439661804
IDRiD,IDRiD,srcnn_degraded,SVM_RBF,0.7263922518159807,0.5655661942066056,0.7062997558786267
IDRiD,APTOS,original,SVM_RBF,0.4519388312397597,0.30758507117758216,0.42835472031349203
IDRiD,APTOS,degraded,SVM_RBF,0.4410158383397051,0.32265088991059493,0.4261409527970655
IDRiD,APTOS,bicubic_original,SVM_RBF,0.4519388312397597,0.30758507117758216,0.42835472031349203
IDRiD,APTOS,bicubic_degraded,SVM_RBF,0.4410158383397051,0.32265088991059493,0.4261409527970655
IDRiD,APTOS,espcn_original,SVM_RBF,0.4680502457673403,0.33523242606209597,0.45145153613143824
IDRiD,APTOS,espcn_degraded,SVM_RBF,0.4396504642271983,0.334312706184484,0.4335174091138989
IDRiD,APTOS,fsrcnn_original,SVM_RBF,0.3904969961769525,0.274497942288967,0.36545390854522575
IDRiD,APTOS,fsrcnn_degraded,SVM_RBF,0.3727471327143637,0.2832997883388485,0.3510081724996531
IDRiD,APTOS,srcnn_original,SVM_RBF,0.4533042053522665,0.3123495840354328,0.43318140082069245
IDRiD,APTOS,srcnn_degraded,SVM_RBF,0.4418350628072092,0.32832803728437987,0.4296877890365407
IDRiD,IDRiD,original_val,RF,0.5192307692307693,0.3669994994994995,0.4715866366856466
IDRiD,IDRiD,degraded,RF,0.8895348837209303,0.8653626261428833,0.8894039522307943
