dataset,image,method,psnr,ssim
APTOS,04efb1a284cc.png,espcn,36.235941894786855,0.9164509944661695
APTOS,04efb1a284cc.png,fsrcnn,29.222761981920314,0.8771506910178889
APTOS,04efb1a284cc.png,srcnn,36.975616270615475,0.9151801687806258
APTOS,050bb1eafa76.png,bicubic,38.000115598822994,0.8857371916951408
APTOS,050bb1eafa76.png,espcn,38.13583405920297,0.9666260987384633
APTOS,050bb1eafa76.png,fsrcnn,29.050828904642167,0.9594899119918193
APTOS,050bb1eafa76.png,srcnn,38.56210858838442,0.9075378673996733
APTOS,05113073b268.png,bicubic,38.67967695471776,0.9010540931017532
APTOS,05113073b268.png,espcn,33.69319494094519,0.9530382017136158
APTOS,05113073b268.png,fsrcnn,24.531203254240516,0.7127081843438301
APTOS,05113073b268.png,srcnn,39.677765441143094,0.9604741484415481
APTOS,05195a3db5e2.png,bicubic,39.11829127388924,0.8951197485795488
APTOS,05195a3db5e2.png,espcn,40.95709356568858,0.9668014479856808
APTOS,05195a3db5e2.png,fsrcnn,33.27170443333773,0.9303456110961665
APTOS,05195a3db5e2.png,srcnn,40.962637014071476,0.946857282904654
APTOS,05339950962e.png,bicubic,37.29168125615026,0.8833816092080946
APTOS,05339950962e.png,espcn,37.093414952876856,0.9094341065850756
APTOS,05339950962e.png,fsrcnn,33.01982664007382,0.8578733441349117
APTOS,05339950962e.png,srcnn,37.55696047655545,0.9174109848857382
APTOS,054b1b305160.png,bicubic,37.252525055500186,0.8894604871132384
APTOS,054b1b305160.png,espcn,36.987591475825475,0.9187709167265314
APTOS,054b1b305160.png,fsrcnn,33.4461592755856,0.8565376674625589
APTOS,054b1b305160.png,srcnn,37.49212720462136,0.9271165971144414
APTOS,0551676cc2aa.png,bicubic,38.86799952085583,0.899174870586949
APTOS,0551676cc2aa.png,espcn,34.29640342989816,0.9580266024288369
APTOS,0551676cc2aa.png,fsrcnn,24.223040747670854,0.7078482571461674
APTOS,0551676cc2aa.png,srcnn,39.845643377417815,0.9659389190105406
APTOS,05b1bb2bdb81.png,bicubic,38.59465396981031,0.894277689031273
APTOS,05b1bb2bdb81.png,espcn,33.881688963213996,0.9515868609616631
APTOS,05b1bb2bdb81.png,fsrcnn,26.191337936282043,0.8023489145444844
APTOS,05b1bb2bdb81.png,srcnn,39.53225313328845,0.9565070757189726
APTOS,05e9126dfa5c.png,bicubic,36.81040965934112,0.8801954417185467
APTOS,05e9126dfa5c.png,espcn,36.290504396345995,0.9111955050167698
APTOS,05e9126dfa5c.png,fsrcnn,33.00450460810348,0.866016990311025
APTOS,05e9126dfa5c.png,srcnn,36.938404648493915,0.9114009274333128
APTOS,060e00d1e2ab.png,bicubic,37.06462617096192,0.884403113843527
APTOS,060e00d1e2ab.png,espcn,37.045529233596135,0.9647792686482788
APTOS,060e00d1e2ab.png,fsrcnn,28.544492840475762,0.9541215296155352
APTOS,060e00d1e2ab.png,srcnn,37.240288447746124,0.9045867747611115
APTOS,06586082a24d.png,bicubic,37.93483623187819,0.8818485749028708
APTOS,06586082a24d.png,espcn,37.713328346609714,0.9596360125326543
APTOS,06586082a24d.png,fsrcnn,30.73258856355608,0.9552965540091849
APTOS,06586082a24d.png,srcnn,38.11766156815848,0.8992915198198196
APTOS,06be1092a062.png,bicubic,38.633812008401975,0.889217305234796
APTOS,06be1092a062.png,espcn,39.1658667314092,0.9702113867615066
APTOS,06be1092a062.png,fsrcnn,32.31551481547219,0.9617787209585466
APTOS,06be1092a062.png,srcnn,39.167645169833534,0.9104488171165088
APTOS,0709652336e2.png,bicubic,38.17645344226501,0.8817513278353436
APTOS,0709652336e2.png,espcn,37.45880737458163,0.9586335827464686
APTOS,0709652336e2.png,fsrcnn,30.459541653963917,0.9515917715098582
APTOS,0709652336e2.png,srcnn,38.325323020697844,0.8983983525681934
APTOS,070d4ce5fd90.png,bicubic,38.94654500578269,0.8870235039879272
APTOS,070d4ce5fd90.png,espcn,38.802240020954486,0.9540623768331066
APTOS,070d4ce5fd90.png,fsrcnn,30.611803182994034,0.8777221435994077
APTOS,070d4ce5fd90.png,srcnn,39.06985115097993,0.9081451265644631
APTOS,07596907347b.png,bicubic,37.241580620743015,0.8877571404984161
APTOS,07596907347b.png,espcn,37.04091557283888,0.9224830218418321
APTOS,07596907347b.png,fsrcnn,29.4574457043528,0.8748980363822567
APTOS,07596907347b.png,srcnn,37.758603056402926,0.9311317317916913
APTOS,0773a1c326ad.png,bicubic,38.70853804386384,0.8830521623188075
APTOS,0773a1c326ad.png,espcn,38.9990429500101,0.9509099984314554
APTOS,0773a1c326ad.png,fsrcnn,33.18751324266817,0.9126149746883391
APTOS,0773a1c326ad.png,srcnn,39.05107940263672,0.9004535495814533
APTOS,07751b94a88a.png,bicubic,37.194407671895405,0.8851103997013551
APTOS,07751b94a88a.png,espcn,36.80197124099047,0.9183395263790776
APTOS,07751b94a88a.png,fsrcnn,31.160378042889768,0.8602018568516167
APTOS,07751b94a88a.png,srcnn,37.23128136996186,0.9150599218417202
APTOS,0790515cf5af.png,bicubic,37.37294974100388,0.8966033827535888
APTOS,0790515cf5af.png,espcn,36.277977420249904,0.9317378123077361
APTOS,0790515cf5af.png,fsrcnn,32.17970198800616,0.8881928623653493
APTOS,0790515cf5af.png,srcnn,37.181027767645254,0.9301266764429003
APTOS,07a0be6b347f.png,bicubic,37.55319799434489,0.8801542918497666
APTOS,07a0be6b347f.png,espcn,37.30854759612968,0.9553239341201648
APTOS,07a0be6b347f.png,fsrcnn,30.47949715677126,0.9499569173782635
APTOS,07a0be6b347f.png,srcnn,37.75939639226652,0.8957657437417842
